capture_datetime,match_datetime,stage,match_id,home_team,away_team,p_home,p_draw,p_away,ou_line,p_over,p_under,cs_pred_home,cs_pred_away,cs_pred_odds,notes
2026-06-10T20:47:00-04:00,2026-06-11T15:00:00-04:00,group,A1-MEX-RSA,Mexico,South Africa,0.6993,0.2353,0.1000,2.5,0.4444,0.5988,1,0,4.50,Opening-day shadow (1=1.43 X=4.25 2=10; O2.5=2.25 U2.5=1.67; cs 1:0@4.50 captured 21:02)
2026-06-10T20:47:00-04:00,2026-06-11T22:00:00-04:00,group,A2-KOR-CZE,Korea Republic,Czechia,0.3846,0.3125,0.3509,2.5,0.4545,0.6173,1,1,5.25,Opening-day shadow (1=2.60 X=3.20 2=2.85; O2.5=2.20 U2.5=1.62; cs 1:1@5.25 captured 21:03)
2026-06-12T00:17:25-04:00,2026-06-12T15:00:00-04:00,group,B1-CAN-BIH,Canada,Bosnia and Herzegovina,0.5263,0.2899,0.2273,2.5,0.4444,0.5882,1,0,5.75,Matchday-2 shadow (1=1.90 X=3.45 2=4.40; O2.5=2.25 U2.5=1.70; cs TIE 1:0 and 1:1 both @5.75 — took 1:0 per favorite-outcome tie-break)
2026-06-12T00:18:31-04:00,2026-06-12T21:00:00-04:00,group,D1-USA-PAR,USA,Paraguay,0.5128,0.2941,0.2273,2.5,0.4348,0.6061,1,0,5.75,Matchday-2 shadow (1=1.95 X=3.40 2=4.40; O2.5=2.30 U2.5=1.65; cs TIE 1:0 and 1:1 both @5.75 — took 1:0 per favorite-outcome tie-break)
2026-06-13T01:17:16-04:00,2026-06-13T15:00:00-04:00,group,B2-QAT-SUI,Qatar,Switzerland,0.0667,0.1538,0.8197,2.5,0.6061,0.4348,0,2,5.25,Matchday-3 shadow (1=15 X=6.50 2=1.22; O2.5=1.65 U2.5=2.30; cs 0:2@5.25 lowest)
2026-06-13T01:17:55-04:00,2026-06-13T18:00:00-04:00,group,C1-BRA-MAR,Brazil,Morocco,0.5882,0.2703,0.1818,2.5,0.4762,0.5714,1,0,5.75,Matchday-3 shadow (1=1.70 X=3.70 2=5.50; O2.5=2.10 U2.5=1.75; cs 1:0@5.75 lowest)
2026-06-13T01:18:40-04:00,2026-06-13T21:00:00-04:00,group,C2-HAI-SCO,Haiti,Scotland,0.1818,0.2222,0.6452,2.5,0.5556,0.4878,0,1,6.50,Matchday-3 shadow (1=5.50 X=4.50 2=1.55; O2.5=1.80 U2.5=2.05; cs 0:1@6.50 lowest)
2026-06-13T12:29:43-04:00,2026-06-14T00:00:00-04:00,group,D2-AUS-TUR,Australia,Turkey,0.2000,0.2667,0.5714,2.5,0.5000,0.5405,1,1,6.00,Matchday-4 shadow (1=5 X=3.75 2=1.75; O2.5=2 U2.5=1.85; cs 1:1@6.00 lowest)
2026-06-13T12:31:23-04:00,2026-06-14T13:00:00-04:00,group,E1-GER-CUR,Germany,Curacao,0.9434,0.0769,0.0286,4.5,0.4878,0.5814,3,0,6.25,Matchday-4 shadow (1=1.06 X=13 2=35; O4.5=2.05 U4.5=1.72; cs TIE 3:0 and 4:0 both @6.25 — took 3:0 (lower-scoring of same home-win outcome))
2026-06-13T12:32:29-04:00,2026-06-14T16:00:00-04:00,group,F1-NED-JPN,Netherlands,Japan,0.5128,0.2778,0.2632,2.5,0.5319,0.5556,1,1,5.75,Matchday-4 shadow (1=1.95 X=3.60 2=3.80; O2.5=1.88 U2.5=1.80; cs 1:1@5.75 lowest)
2026-06-13T12:33:19-04:00,2026-06-14T19:00:00-04:00,group,E2-CIV-ECU,Ivory Coast,Ecuador,0.2857,0.3448,0.4167,1.5,0.6536,0.4348,1,1,5.25,Matchday-4 shadow (1=3.50 X=2.90 2=2.40; O1.5=1.53 U1.5=2.30; cs 1:1@5.25 lowest)
2026-06-13T12:34:03-04:00,2026-06-14T22:00:00-04:00,group,F2-SWE-TUN,Sweden,Tunisia,0.5319,0.2899,0.2273,2.5,0.4651,0.6061,1,0,5.75,Matchday-4 shadow (1=1.88 X=3.45 2=4.40; O2.5=2.15 U2.5=1.65; cs TIE 1:0 and 1:1 both @5.75 — took 1:0 per favorite-outcome tie-break)
2026-06-15T02:35:22-04:00,2026-06-15T12:00:00-04:00,group,H1-ESP-CPV,Spain,Cape Verde,0.9091,0.1000,0.0286,3.5,0.5263,0.5128,2,0,6.00,Matchday-5 shadow (1=1.10 X=10 2=35; O3.5=1.90 U3.5=1.95; cs 2:0@6.00 lowest)
2026-06-15T02:35:57-04:00,2026-06-15T15:00:00-04:00,group,G1-BEL-EGY,Belgium,Egypt,0.6173,0.2564,0.1667,2.5,0.5128,0.5319,1,0,6.00,Matchday-5 shadow (1=1.62 X=3.90 2=6; O2.5=1.95 U2.5=1.88; cs 1:0@6.00 lowest)
2026-06-15T02:36:52-04:00,2026-06-15T18:00:00-04:00,group,H2-KSA-URU,Saudi Arabia,Uruguay,0.1176,0.2353,0.6897,2.5,0.4878,0.5556,0,1,5.25,Matchday-5 shadow (1=8.50 X=4.25 2=1.45; O2.5=2.05 U2.5=1.80; cs 0:1@5.25 lowest)
2026-06-15T02:37:45-04:00,2026-06-15T21:00:00-04:00,group,G2-IRN-NZL,Iran,New Zealand,0.5263,0.2941,0.2222,2.5,0.4000,0.6452,1,0,5.25,Matchday-5 shadow (1=1.90 X=3.40 2=4.50; O2.5=2.50 U2.5=1.55; cs 1:0@5.25 lowest)
2026-06-15T16:51:07-04:00,2026-06-16T15:00:00-04:00,group,I1-FRA-SEN,France,Senegal,0.6897,0.2273,0.1333,2.5,0.5263,0.5128,1,0,6.00,Matchday-6 shadow (1=1.45 X=4.40 2=7.50; O2.5=1.90 U2.5=1.95; cs 1:0@6.00 lowest)
2026-06-15T16:52:06-04:00,2026-06-16T18:00:00-04:00,group,I2-IRQ-NOR,Iraq,Norway,0.0625,0.1429,0.8333,2.5,0.6452,0.4348,0,2,5.50,Matchday-6 shadow (1=16 X=7 2=1.20; O2.5=1.55 U2.5=2.30; cs 0:2@5.50 lowest; poly used 3.5 line)
2026-06-15T16:53:02-04:00,2026-06-16T21:00:00-04:00,group,J1-ARG-ALG,Argentina,Algeria,0.7299,0.2174,0.1053,2.5,0.5263,0.5556,1,0,5.25,Matchday-6 shadow (1=1.37 X=4.60 2=9.50; O2.5=1.90 U2.5=1.80; cs 1:0@5.25 lowest)
2026-06-15T16:54:08-04:00,2026-06-17T00:00:00-04:00,group,J2-AUT-JOR,Austria,Jordan,0.7407,0.2000,0.1053,2.5,0.6061,0.4651,2,0,6.25,Matchday-6 shadow (1=1.35 X=5 2=9.50; O2.5=1.65 U2.5=2.15; cs 2:0@6.25 lowest)
